gastos idade tempo expostos sinistros
113290.74 39 4 1059 1598
132791.31 40 4 1057 1892
111605.35 41 4 1043 1511
311291.53 42 4 892 1355
132204.65 43 4 840 1581
97735.33 44 4 767 1212
121125.23 45 4 748 1526
194057.95 46 4 769 1433
211999.03 47 4 761 2215
144966.54 48 4 776 1498
161231.56 49 4 703 1682
71050.59 50 4 628 1440
157282.17 51 4 616 1688
103150.33 52 4 570 1315
243973.41 53 4 572 1390
84626.98 54 4 554 1599
81384.68 55 4 484 1342
72631.91 56 4 452 1110
127190.68 57 4 439 1317
30425.34 58 4 305 777
89949.34 59 4 327 713
43599.12 60 4 286 670
41446.39 61 4 250 525
104478.77 62 4 165 581
83635.28 63 4 133 487
77882.26 64 4 121 312
5259.76 65 4 67 146
9224.31 66 4 63 150
42350.08 67 4 52 139
9376.15 68 4 31 156
14591.44 69 4 33 110
792.93 70 4 20 22
26252.9 71 4 13 103
2676.39 72 4 9 45
152.73 73 4 6 7
2182.14 74 4 7 25
511.68 75 4 4 10
215.25 76 4 4 20
544.3 77 4 1 6
246.82 78 4 2 13
0 79 4 2 0
123.29 80 4 2 12
35.69 81 4 4 5
52.6 82 4 2 1
382.38 83 4 4 11
284.57 84 4 1 3
0 85 4 2 0
269.46 86 4 2 21
43001.93 87 4 1 15
0 88 4 1 0
0 89 4 0 0
25.74 90 4 1 5
0 91 4 1 0
0 92 4 0 0
0 93 4 1 0
0 94 4 0 0
0 95 4 0 0
0 96 4 0 0
0 97 4 0 0
0 98 4 0 0
0 99 4 0 0
0 100 4 0 0
0 101 4 0 0
0 102 4 0 0
0 103 4 0 0
0 104 4 0 0
0 105 4 0 0
100629.66 1 5 1335 1741
64551.66 2 5 1420 1773
71890.31 3 5 1364 1554
61445.74 4 5 1345 1442
42427.94 5 5 1288 1329
58000.51 6 5 1242 1262
65059.19 7 5 1233 1084
38525.85 8 5 1270 1101
30421.76 9 5 1189 1008
31764.88 10 5 1127 1021
58691.42 11 5 1174 931
35189.34 12 5 1184 991
37900.94 13 5 1246 1022
36738.67 14 5 1180 879
30608.55 15 5 1042 967
37227.39 16 5 1049 1057
65648.5 17 5 1093 1098
58873.04 18 5 1057 907
80149.07 19 5 1156 1460
100805.07 20 5 1215 1480
123007.77 21 5 1331 1642
156769.96 22 5 1490 1985
106085.22 23 5 1623 2374
180031.82 24 5 1768 2697
